house_id,city,area_sqm,bedrooms,bathrooms,parking_spaces,property_type,year_built,distance_to_city_center_km,electricity_hours_per_day,price_ngn
HOUSE_0001,Lagos,139.87,1,3,1,Flat,1998.0,7.31,9.0,146935131
HOUSE_0002,Enugu,145.91,1,4,0,Flat,1995.0,15.62,12.0,82927041
HOUSE_0003,Enugu,110.63,5,1,1,Bungalow,,6.83,19.0,90624231
HOUSE_0004,Port Harcourt,183.17,5,3,0,Flat,2017.0,11.84,16.0,134162886
HOUSE_0005,Abuja,101.22,2,3,0,Flat,2014.0,10.71,9.0,111498032
HOUSE_0006,Ibadan,101.46,5,3,0,Bungalow,2019.0,5.67,,93002387
HOUSE_0007,Port Harcourt,129.68,1,3,2,Bungalow,2002.0,1.57,8.0,109072276
HOUSE_0008,Abuja,51.0,3,1,1,Flat,2014.0,5.19,14.0,104630112
HOUSE_0009,Ibadan,79.49,2,3,2,Flat,2007.0,9.57,8.0,78855886
HOUSE_0010,Abuja,83.68,5,2,1,Duplex,2014.0,0.94,14.0,130797076
HOUSE_0011,Enugu,178.63,2,3,0,Flat,1992.0,6.87,16.0,111105510
HOUSE_0012,Ibadan,122.7,1,2,2,Flat,2021.0,0.88,18.0,106974658
HOUSE_0013,Port Harcourt,98.22,2,3,1,Flat,,8.55,14.0,107551453
HOUSE_0014,Enugu,73.96,4,4,2,Flat,1998.0,9.88,,76509910
HOUSE_0015,Lagos,95.97,1,1,1,Bungalow,2000.0,6.54,19.0,134149141
HOUSE_0016,Lagos,95.93,4,4,3,Bungalow,2006.0,17.26,,119256726
HOUSE_0017,Lagos,119.46,5,3,2,Flat,2008.0,2.71,19.0,152612484
HOUSE_0018,Port Harcourt,152.9,1,3,1,Bungalow,1996.0,1.9,15.0,130955421
HOUSE_0019,Enugu,128.35,5,2,1,Duplex,2000.0,1.8,,109527274
HOUSE_0020,Enugu,66.87,1,3,3,Flat,1997.0,8.98,17.0,74782427
HOUSE_0021,Ibadan,149.54,2,1,1,Bungalow,1995.0,8.86,8.0,103285903
HOUSE_0022,Port Harcourt,115.37,1,2,1,Bungalow,2020.0,6.49,,101063294
HOUSE_0023,Ibadan,60.86,5,4,1,Bungalow,2002.0,4.4,15.0,88214671
HOUSE_0024,Ibadan,101.57,4,4,0,Flat,2004.0,13.29,8.0,84075191
HOUSE_0025,Lagos,133.74,5,2,1,Flat,1994.0,0.82,7.0,152367661
HOUSE_0026,Lagos,132.96,1,3,0,Bungalow,2005.0,6.07,14.0,148876759
HOUSE_0027,Port Harcourt,92.92,2,2,3,Flat,2020.0,11.06,19.0,94845639
HOUSE_0028,Lagos,161.24,1,4,2,Duplex,2016.0,12.66,20.0,156973856
HOUSE_0029,Lagos,86.43,1,1,3,Bungalow,2011.0,6.45,9.0,119082715
HOUSE_0030,Abuja,133.25,2,4,1,Duplex,2001.0,12.88,14.0,126343299
HOUSE_0031,Abuja,100.83,1,4,0,Flat,,7.07,6.0,108472249
HOUSE_0032,Abuja,75.75,2,4,3,Duplex,2003.0,2.02,18.0,114871048
HOUSE_0033,Abuja,152.5,4,1,3,Duplex,2019.0,14.78,15.0,131236248
HOUSE_0034,Enugu,117.12,4,2,1,Duplex,2003.0,13.02,7.0,83284890
HOUSE_0035,Enugu,134.47,1,3,0,Flat,2020.0,4.77,,95449721
HOUSE_0036,Abuja,134.46,1,1,1,Flat,1994.0,15.69,13.0,114805767
HOUSE_0037,Lagos,118.57,5,2,0,Bungalow,1995.0,15.82,19.0,143443326
HOUSE_0038,Enugu,40.0,5,3,2,Flat,2010.0,12.11,13.0,59724272
HOUSE_0039,Port Harcourt,123.48,2,3,3,Duplex,1994.0,6.5,6.0,109207413
HOUSE_0040,Enugu,123.67,5,1,0,Bungalow,2003.0,1.94,,97605974
HOUSE_0041,Abuja,111.21,3,1,1,Duplex,2008.0,9.79,11.0,118128110
HOUSE_0042,Enugu,179.12,3,1,2,Bungalow,1996.0,5.41,10.0,106635517
HOUSE_0043,Lagos,87.66,1,2,2,Duplex,2003.0,5.49,16.0,125608885
HOUSE_0044,Ibadan,156.62,5,4,2,Flat,1995.0,9.64,19.0,125061781
HOUSE_0045,Ibadan,98.81,1,1,2,Flat,2006.0,10.57,11.0,82935148
HOUSE_0046,Port Harcourt,123.88,5,4,0,Flat,1994.0,12.84,10.0,114604571
HOUSE_0047,Lagos,91.92,3,2,3,Flat,1992.0,6.36,15.0,133157093
HOUSE_0048,Lagos,104.32,3,2,1,Bungalow,1996.0,0.68,17.0,152482663
HOUSE_0049,Enugu,131.84,4,2,1,Flat,2001.0,9.31,19.0,90789529
HOUSE_0050,Abuja,120.2,3,4,1,Duplex,2000.0,6.83,9.0,127193573
HOUSE_0051,Lagos,63.39,4,2,1,Duplex,2012.0,5.9,15.0,133871125
HOUSE_0052,Abuja,106.29,2,1,1,Duplex,2011.0,3.99,14.0,116478682
HOUSE_0053,Ibadan,113.55,3,4,2,Flat,1997.0,10.02,14.0,90613870
HOUSE_0054,Enugu,195.45,3,1,0,Bungalow,2017.0,8.87,17.0,120185559
HOUSE_0055,Ibadan,130.3,4,1,3,Bungalow,2002.0,7.63,14.0,95094387
