order_id,customer_id,order_date,city,payment_method,product,category,quantity,unit_price_ngn,line_total_ngn
KNG-2024-00002,CUST-2728,2024-04-29 07:35,Lagos,Card,JAMB CBT Guide,Books & Stationery,2,4200,8400
KNG-2024-00002,CUST-2728,2024-04-29 07:35,Lagos,Card,WAEC Past Questions,Books & Stationery,1,3500,3500
KNG-2024-00003,CUST-2393,2024-06-21 10:05,Lagos,Card,Dangote Sugar 1kg,Food & Groceries,1,2200,2200
KNG-2024-00004,CUST-2200,2024-07-04 13:45,Enugu,Bank Transfer,Lace Blouse,Fashion - Women,1,9500,9500
KNG-2024-00005,CUST-3603,2024-06-30 13:42,Enugu,Card,Resistance Bands,Sports & Fitness,1,5500,5500
KNG-2024-00005,CUST-3603,2024-06-30 13:42,Enugu,Card,Yoga Mat,Sports & Fitness,1,9500,9500
KNG-2024-00005,CUST-3603,2024-06-30 13:42,Enugu,Card,HP Laptop,Electronics,2,480000,960000
KNG-2024-00005,CUST-3603,2024-06-30 13:42,Enugu,Card,Ball Point Pens 10pk,Books & Stationery,1,1500,1500
KNG-2024-00005,CUST-3603,2024-06-30 13:42,Enugu,Card,Notebook 200pg,Books & Stationery,2,2200,4400
KNG-2024-00005,CUST-3603,2024-06-30 13:42,Enugu,Card,A4 Paper Ream,Books & Stationery,2,4800,9600
KNG-2024-00006,CUST-2643,2024-10-17 17:13,Lagos,Card,Dumbbell Set 10kg,Sports & Fitness,1,28000,28000
KNG-2024-00006,CUST-2643,2024-10-17 17:13,Lagos,Card,Black Castor Oil,Beauty & Personal,2,3800,7600
KNG-2024-00006,CUST-2643,2024-10-17 17:13,Lagos,Card,"Smart TV 43""",Electronics,1,215000,215000
KNG-2024-00007,CUST-3394,2024-07-04 14:08,Abuja,Bank Transfer,Infant Formula,Baby Products,1,18500,18500
KNG-2024-00007,CUST-3394,2024-07-04 14:08,Abuja,Bank Transfer,HP Laptop,Electronics,1,480000,480000
KNG-2024-00007,CUST-3394,2024-07-04 14:08,Abuja,Bank Transfer,Foam Mattress,Home & Kitchen,1,85000,85000
KNG-2024-00007,CUST-3394,2024-07-04 14:08,Abuja,Bank Transfer,Ball Point Pens 10pk,Books & Stationery,1,1500,1500
KNG-2024-00007,CUST-3394,2024-07-04 14:08,Abuja,Bank Transfer,Notebook 200pg,Books & Stationery,3,2200,6600
KNG-2024-00009,CUST-2780,2024-05-14 12:32,Lagos,Card,Golden Penny Pasta,Food & Groceries,1,3500,3500
KNG-2024-00009,CUST-2780,2024-05-14 12:32,Lagos,Card,Yoga Mat,Sports & Fitness,1,9500,9500
KNG-2024-00010,CUST-1661,2024-09-28 07:38,Port Harcourt,Pay on Delivery,Ankara Dress,Fashion - Women,2,12000,24000
KNG-2024-00010,CUST-1661,2024-09-28 07:38,Port Harcourt,Pay on Delivery,Tecno Spark 20,Phones & Tablets,3,115000,345000
KNG-2024-00010,CUST-1661,2024-09-28 07:38,Port Harcourt,Pay on Delivery,Infinix Hot 40,Phones & Tablets,1,95000,95000
KNG-2024-00011,CUST-2990,2024-09-29 11:08,Enugu,USSD,Lace Blouse,Fashion - Women,2,9500,19000
KNG-2024-00012,CUST-2733,2024-12-19 13:45,Owerri,USSD,Milo 400g,Food & Groceries,1,5800,5800
KNG-2024-00012,CUST-2733,2024-12-19 13:45,Owerri,USSD,Caprisonne Juice,Food & Groceries,1,4200,4200
KNG-2024-00012,CUST-2733,2024-12-19 13:45,Owerri,USSD,Dangote Sugar 1kg,Food & Groceries,1,2200,2200
KNG-2024-00013,CUST-1029,2024-04-27 09:57,Lagos,Bank Transfer,Golden Penny Pasta,Food & Groceries,1,3500,3500
KNG-2024-00013,CUST-1029,2024-04-27 09:57,Lagos,Bank Transfer,Indomie Noodles (40pk),Food & Groceries,1,7500,7500
KNG-2024-00013,CUST-1029,2024-04-27 09:57,Lagos,Bank Transfer,Milo 400g,Food & Groceries,1,5800,5800
KNG-2024-00013,CUST-1029,2024-04-27 09:57,Lagos,Bank Transfer,Caprisonne Juice,Food & Groceries,1,4200,4200
KNG-2024-00013,CUST-1029,2024-04-27 09:57,Lagos,Bank Transfer,A4 Paper Ream,Books & Stationery,1,4800,4800
KNG-2024-00015,CUST-2649,2024-02-25 14:12,Kano,Pay on Delivery,Black Castor Oil,Beauty & Personal,3,3800,11400
KNG-2024-00015,CUST-2649,2024-02-25 14:12,Kano,Pay on Delivery,Non-stick Pot Set,Home & Kitchen,1,22000,22000
KNG-2024-00015,CUST-2649,2024-02-25 14:12,Kano,Pay on Delivery,Ankara Dress,Fashion - Women,2,12000,24000
KNG-2024-00015,CUST-2649,2024-02-25 14:12,Kano,Pay on Delivery,Blender,Home & Kitchen,1,18000,18000
